M,constellation,receiver,generation_loss_db_per_step,channel_loss_db,branch_label,bracket_min,bracket_max,spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,is_global_maximum,seconds
8,8-QAM,raw_label_srm,0.18,0.25,low_d,0.28,0.9,0.9,0.343661831691,0.99999999986,0.757567125319,0.757567125213,-0.261892591289,58,1,19,1,0,6.056
8,8-QAM,raw_label_srm,0.185,0.25,high_d,1.15,2.15,1.54531469376,0.415019952593,1,0.469992704023,0.469992704023,0.300246741856,64,1,8,0,1,3.020
8,8-QAM,raw_label_srm,0.185,0.25,low_d,0.28,0.9,0.9,0.334277795949,0.99999999986,0.754417358935,0.75441735883,-0.27085159007,58,1,10,1,0,3.559
8,8-QAM,raw_label_srm,0.19,0.25,high_d,1.15,2.15,1.54562565084,0.397181282301,1,0.464960471786,0.464960471786,0.281867028501,64,1,8,0,1,2.951
8,8-QAM,raw_label_srm,0.19,0.25,low_d,0.28,0.9,0.9,0.324949589075,0.99999999986,0.75127647075,0.751276470646,-0.279765683414,58,1,15,1,0,4.924
8,8-QAM,raw_label_srm,0.195,0.25,high_d,1.15,2.15,1.54654417186,0.379586191037,1,0.45974939964,0.45974939964,0.263645285854,64,1,8,0,1,3.103
8,8-QAM,raw_label_srm,0.195,0.25,low_d,0.28,0.9,0.9,0.315676037227,0.99999999986,0.748144445701,0.748144445597,-0.288635906197,58,1,9,1,0,3.371
8,8-QAM,raw_label_srm,0.2,0.25,high_d,1.15,2.15,1.54820049879,0.36223097054,1,0.454308740731,0.454308740731,0.245565179883,64,1,8,0,1,3.038
8,8-QAM,raw_label_srm,0.2,0.25,low_d,0.28,0.9,0.658179521313,0.30920740993,0.999999927466,0.850968005581,0.850967943857,-0.364365615671,56,1,11,0,0,3.820
8,8-QAM,raw_label_srm,0.205,0.25,high_d,1.15,2.15,1.55077306488,0.345113109623,1,0.44857008394,0.44857008394,0.227612230454,64,1,8,0,1,3.104
8,8-QAM,raw_label_srm,0.205,0.25,low_d,0.28,0.9,0.644658213248,0.30440078672,0.9999997755,0.854488532767,0.854488340934,-0.366626091581,56,1,15,0,0,5.094
8,8-QAM,raw_label_srm,0.21,0.25,high_d,1.15,2.15,1.55457988215,0.328231717076,1,0.442412975461,0.442412975461,0.209767897643,64,1,7,0,1,2.740
8,8-QAM,raw_label_srm,0.21,0.25,low_d,0.28,0.9,0.633202136678,0.299795816386,0.999999505018,0.857235845263,0.857235420947,-0.368387318636,56,1,11,0,0,3.920
8,8-QAM,raw_label_srm,0.215,0.25,high_d,1.15,2.15,1.5598736545,0.311588237259,1,0.435745027451,0.435745027451,0.192053444901,64,1,7,0,1,2.898
8,8-QAM,raw_label_srm,0.215,0.25,low_d,0.28,0.9,0.622838101302,0.295368986697,0.999999467617,0.859599550527,0.85959909289,-0.369716400796,56,1,10,0,0,3.725
8,8-QAM,raw_label_srm,0.22,0.25,high_d,1.15,2.15,1.56723352301,0.295187702348,1,0.428354223398,0.428354223398,0.174499889728,64,1,8,0,1,3.110
8,8-QAM,raw_label_srm,0.22,0.25,low_d,0.28,0.9,0.612758181184,0.291102182868,0.999999797506,0.861903698366,0.861903523836,-0.370465910274,56,1,11,0,0,3.899
8,8-QAM,raw_label_srm,0.225,0.25,high_d,1.15,2.15,1.57755515399,0.279040986619,1,0.419919635856,0.419919635856,0.157217272133,64,1,9,0,0,3.429
8,8-QAM,raw_label_srm,0.225,0.25,low_d,0.28,0.9,0.604202241234,0.28697997407,0.999999523301,0.863641071329,0.863640659632,-0.371352598687,56,1,13,0,1,4.457
8,8-QAM,raw_label_srm,0.23,0.25,high_d,1.15,2.15,1.15,0.265453989198,0.999999999989,0.602033723048,0.602033723041,-0.194161846119,56,1,8,1,0,3.060
8,8-QAM,raw_label_srm,0.23,0.25,low_d,0.28,0.9,0.595750299249,0.282990425643,0.999999115433,0.865385467918,0.865384702427,-0.371818797856,56,1,14,0,1,4.629
8,8-QAM,raw_label_srm,0.235,0.25,high_d,1.15,2.15,1.15,0.253900919165,0.999999999987,0.598075292983,0.598075292976,-0.206001866457,54,1,10,1,0,3.551
8,8-QAM,raw_label_srm,0.235,0.25,low_d,0.28,0.9,0.588236708491,0.279123278739,0.999999825758,0.866793412564,0.866793261533,-0.372387997665,56,1,14,0,1,4.617
8,8-QAM,raw_label_srm,0.24,0.25,high_d,1.15,2.15,1.15,0.242700194914,0.999999999989,0.594139465996,0.594139465989,-0.217754205227,54,1,11,1,0,3.862
8,8-QAM,raw_label_srm,0.24,0.25,low_d,0.28,0.9,0.580915971842,0.275369407957,0.999999727138,0.868166694244,0.868166457355,-0.372714212047,56,1,12,0,1,4.126
8,8-QAM,raw_label_srm,0.245,0.25,high_d,1.15,2.15,1.15,0.231579486301,0.999999999996,0.590226128095,0.590226128092,-0.229420465247,54,1,11,1,0,3.850
8,8-QAM,raw_label_srm,0.245,0.25,low_d,0.28,0.9,0.574058432617,0.271721166143,0.999999592834,0.869391973178,0.869391619191,-0.373005561891,56,1,11,0,1,3.775
8,8-QAM,raw_label_srm,0.25,0.25,high_d,1.15,2.15,1.15,0.220537514208,0.999999999989,0.586335166081,0.586335166074,-0.241002193145,54,1,12,1,0,4.133
8,8-QAM,raw_label_srm,0.25,0.25,low_d,0.28,0.9,0.567544351726,0.268171925584,0.999999843625,0.870515939216,0.870515803089,-0.373234003794,56,1,11,0,1,3.776
8,8-QAM,raw_label_srm,0.255,0.25,high_d,1.15,2.15,1.15,0.209573043119,0.999999999989,0.58246646754,0.582466467533,-0.252500882178,54,1,10,1,0,3.602
8,8-QAM,raw_label_srm,0.255,0.25,low_d,0.28,0.9,0.56151450155,0.264715417859,0.999999577189,0.871477645337,0.871477276867,-0.373537022586,56,1,10,0,1,3.641
8,8-QAM,raw_label_srm,0.26,0.25,high_d,1.15,2.15,1.15,0.19902000973,0.999999999989,0.578619920836,0.578619920829,-0.263917974867,52,1,10,1,0,3.643
8,8-QAM,raw_label_srm,0.26,0.25,low_d,0.28,0.9,0.555709235133,0.261346442035,0.999999242051,0.872382450524,0.872381789303,-0.373770547521,56,1,10,0,1,3.703
