subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,spacing_d,hashing_bound_bits_per_attempt,grid_region,loss_db,eta,success_probability,average_target_fidelity,useful_outcomes,seconds
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7725,0.229352134216,full_d,0.9,0.812830516164,0.999999999999,0.894366415568,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.775,0.229824581127,full_d,0.9,0.812830516164,0.999999999997,0.893720564993,12,0.009
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7775,0.230290695493,full_d,0.9,0.812830516164,1.0,0.893073133394,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.78,0.23075047598,full_d,0.9,0.812830516164,0.999999999993,0.892424125852,12,0.047
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7825,0.231203921972,full_d,0.9,0.812830516164,1.0,0.891773547471,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.785,0.231651033561,full_d,0.9,0.812830516164,0.999999999999,0.891121403376,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7875,0.232091811549,full_d,0.9,0.812830516164,0.999999999992,0.890467698716,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.79,0.232526257456,full_d,0.9,0.812830516164,0.999999999999,0.889812438661,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7925,0.232954373498,full_d,0.9,0.812830516164,0.999999999999,0.889155628406,12,0.008
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.795,0.233376162602,full_d,0.9,0.812830516164,0.999999999999,0.888497273167,12,0.005
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7975,0.233791628398,full_d,0.9,0.812830516164,1.0,0.887837378182,12,0.034
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8,0.234200775218,full_d,0.9,0.812830516164,0.999999999999,0.887175948714,12,0.008
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8025,0.23460360809,full_d,0.9,0.812830516164,0.999999999999,0.886512990048,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.805,0.235000132742,full_d,0.9,0.812830516164,1.0,0.885848507491,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8075,0.235390355591,full_d,0.9,0.812830516164,0.999999999993,0.885182506375,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.81,0.235774283754,full_d,0.9,0.812830516164,1.0,0.884514992052,12,0.006
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.8125,0.236151925027,full_d,0.9,0.812830516164,0.999999999997,0.8838459699,12,0.039
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.815,0.236523287898,full_d,0.9,0.812830516164,0.999999999997,0.883175445319,12,0.023
