subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,hashing_bound_bits_per_attempt,optimized_spacing_d,source_dataset,loss_db,vacuum_rate,raw_rate,raw_minus_vacuum,vacuum_d,raw_d,source_file,raw_success_probability,raw_average_target_fidelity,raw_useful_outcomes,raw_candidate_seconds,note,source_label,source_priority,vacuum_candidate_source,raw_candidate_source,vacuum_candidate_seconds,vacuum_bracket_min,vacuum_bracket_max,raw_bracket_min,raw_bracket_max,vacuum_optimizer_success,raw_optimizer_success,vacuum_optimizer_nfev,raw_optimizer_nfev,cache_evaluations,vacuum_boundary_peak,raw_boundary_peak,seconds
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.1,2.2,0.202405483891,0.864960065106,merged_2_4_8_16_raw_label_srm,1.1,0.197535590027,0.202405483891,0.0048698938641,0.883114354737,0.864960065106,results/raw_label_vs_vacuum_omit_srm_qam_dense_0_2db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.2,2.4,0.185235882916,0.826813664758,merged_2_4_8_16_raw_label_srm,1.2,0.180534853448,0.185235882916,0.00470102946853,0.837731745362,0.826813664758,results/raw_label_vs_vacuum_omit_srm_qam_dense_0_2db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.3,2.6,0.170558906887,0.795350832089,merged_2_4_8_16_raw_label_srm,1.3,0.166191693506,0.170558906887,0.00436721338051,0.802347377176,0.795350832089,results/raw_label_vs_vacuum_omit_srm_qam_dense_0_2db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.4,2.8,0.157831349785,0.768578046688,merged_2_4_8_16_raw_label_srm,1.4,0.153841021125,0.157831349785,0.00399032865997,0.773218087944,0.768578046688,results/raw_label_vs_vacuum_omit_srm_qam_dense_0_2db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.5,3.0,0.146670732983,0.745310424725,merged_2_4_8_16_raw_label_srm,1.5,0.143052457234,0.146670732983,0.00361827574877,0.748444131523,0.745310424725,results/raw_label_vs_vacuum_omit_srm_qam_dense_0_2db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.6,3.2,0.136795280326,0.724781838105,merged_2_4_8_16_raw_label_srm,1.6,0.133525220887,0.136795280326,0.00327005943907,0.726904060731,0.724781838105,results/raw_label_vs_vacuum_omit_srm_qam_dense_0_2db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.7,3.4,0.127990578015,0.706457019922,merged_2_4_8_16_raw_label_srm,1.7,0.125038310791,0.127990578015,0.0029522672237,0.707882625749,0.706457019922,results/raw_label_vs_vacuum_omit_srm_qam_dense_0_2db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.8,3.6,0.120089422686,0.689952612054,merged_2_4_8_16_raw_label_srm,1.8,0.117423493786,0.120089422686,0.00266592889968,0.69088392884,0.689952612054,results/raw_label_vs_vacuum_omit_srm_qam_dense_0_2db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,1.9,3.8,0.112958877104,0.674972755054,merged_2_4_8_16_raw_label_srm,1.9,0.110549269923,0.112958877104,0.0024096071809,0.675548460845,0.674972755054,results/raw_label_vs_vacuum_omit_srm_qam_dense_0_2db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,2.0,4.0,0.106491564663,0.661297448897,merged_2_4_8_16_raw_label_srm,2.0,0.104310708309,0.106491564663,0.00218085635359,0.661612325823,0.661297448897,results/raw_label_vs_vacuum_omit_srm_qam_dense_0_2db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,2.5,5.0,0.0814954703999,0.607269974972,merged_2_4_8_16_raw_label_srm,2.5,0.0801375048965,0.0814954703999,0.00135796550336,0.606997995607,0.607269974972,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,3.0,6.0,0.0645084665884,0.569040462781,merged_2_4_8_16_raw_label_srm,3.0,0.0636273192269,0.0645084665884,0.000881147361507,0.568646888002,0.569040462781,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,3.5,7.0,0.0522793912455,0.540487182903,merged_2_4_8_16_raw_label_srm,3.5,0.0516875383035,0.0522793912455,0.000591852941963,0.540089830296,0.540487182903,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,4.0,8.0,0.0431082635269,0.518368225315,merged_2_4_8_16_raw_label_srm,4.0,0.0426995781622,0.0431082635269,0.000408685364633,0.518001325948,0.518368225315,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,4.5,9.0,0.0360177586762,0.500793082144,merged_2_4_8_16_raw_label_srm,4.5,0.0357292405784,0.0360177586762,0.000288518097856,0.500463197599,0.500793082144,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,5.0,10.0,0.0304056951165,0.486477032576,merged_2_4_8_16_raw_label_srm,5.0,0.0301983398344,0.0304056951165,0.00020735528211,0.486255323405,0.486477032576,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,5.5,11.0,0.0258806853447,0.474666101098,merged_2_4_8_16_raw_label_srm,5.5,0.0257294757009,0.0258806853447,0.000151209643792,0.474572693141,0.474666101098,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,6.0,12.0,0.0221772992619,0.465039963008,merged_2_4_8_16_raw_label_srm,6.0,0.02206568625,0.0221772992619,0.000111613011901,0.464829310216,0.465039963008,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,6.5,13.0,0.0191090972817,0.456827095044,merged_2_4_8_16_raw_label_srm,6.5,0.0190258838716,0.0191090972817,8.32134100781e-05,0.456656901454,0.456827095044,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,7.0,14.0,0.0165413057408,0.4498475201,merged_2_4_8_16_raw_label_srm,7.0,0.016478739816,0.0165413057408,6.25659247903e-05,0.449675946985,0.4498475201,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,7.5,15.0,0.0143740523129,0.44389871562,merged_2_4_8_16_raw_label_srm,7.5,0.014326673443,0.0143740523129,4.73788698386e-05,0.443771391763,0.44389871562,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,8.0,16.0,0.0125317540503,0.438802377775,merged_2_4_8_16_raw_label_srm,8.0,0.0124956566202,0.0125317540503,3.60974300566e-05,0.438696056854,0.438802377775,results/raw_label_vs_vacuum_omit_srm_qam/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
