M,constellation,receiver,phase_error_pi,phase_error_rad,source_loss_db_per_interface,channel_loss_db_per_arm,eta_source,eta_channel,seed_spacing_d,bracket_min,bracket_max,optimized_spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,seconds
4,4-QAM,raw_label_srm,0.18,0.565486677646,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.59373136881,0.446855982955,1,0.74061038401,0.74061038401,0.354413794568,16,1,8,0,0.356
4,4-QAM,raw_label_srm,0.185,0.581194640914,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.59098571509,0.443118639982,1,0.741928025056,0.741928025056,0.352410407251,16,1,8,0,0.630
4,4-QAM,raw_label_srm,0.19,0.596902604182,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.58794426659,0.439320877065,1,0.743336012341,0.743336012341,0.348156259906,16,1,8,0,0.412
4,4-QAM,raw_label_srm,0.195,0.61261056745,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.58459892141,0.435468952871,1,0.744835888708,0.744835888708,0.340773063478,16,1,8,0,0.407
4,4-QAM,raw_label_srm,0.2,0.628318530718,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.58094576238,0.431569549896,1,0.746428083398,0.746428083398,0.333135619878,16,1,8,0,0.134
4,4-QAM,raw_label_srm,0.205,0.644026493986,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.5769858213,0.427629717024,1,0.748111724829,0.748111724829,0.325244730851,16,1,8,0,0.497
4,4-QAM,raw_label_srm,0.21,0.659734457254,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.57272570795,0.423656791011,1,0.749884490504,0.749884490504,0.317103485398,16,1,8,0,0.179
4,4-QAM,raw_label_srm,0.215,0.675442420522,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.56817801649,0.41965829801,1,0.751742516063,0.751742516063,0.308717557958,16,1,8,0,0.535
4,4-QAM,raw_label_srm,0.22,0.69115038379,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.56336142938,0.415641838308,1,0.753680383238,0.753680383238,0.300095402392,16,1,8,0,0.266
4,4-QAM,raw_label_srm,0.225,0.706858347058,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.55829808381,0.411614959745,1,0.755691819552,0.755691819552,0.291247964195,16,1,8,0,0.117
4,4-QAM,raw_label_srm,0.23,0.722566310326,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.55302352648,0.407585026925,1,0.75776711712,0.75776711712,0.282190074211,16,1,8,0,0.314
4,4-QAM,raw_label_srm,0.235,0.738274273594,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.54756801895,0.403559094893,1,0.759898012437,0.759898012437,0.27293764003,16,1,8,0,0.224
4,4-QAM,raw_label_srm,0.24,0.753982236862,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.54194641663,0.399543794981,1,0.762080278086,0.762080278086,0.263505863185,16,1,7,0,0.511
4,4-QAM,raw_label_srm,0.245,0.769690200129,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.53626251056,0.39554524162,1,0.764286769932,0.764286769932,0.253924064899,16,1,7,0,0.058
4,4-QAM,raw_label_srm,0.25,0.785398163397,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.53048919813,0.391568961595,1,0.76652423634,0.76652423634,0.244203328604,16,1,8,0,0.396
4,4-QAM,raw_label_srm,0.255,0.801106126665,0.2,0.25,0.954992586021,0.944060876286,1.60875398183,1.30875398183,1.90875398183,1.52468561498,0.387619854098,1,0.76877720133,0.76877720133,0.234367625427,16,1,8,0,0.524
