M,constellation,phase_error_pi,phase_error_rad,source_loss_db_per_interface,channel_loss_db_per_arm,raw_hashing_bound_bits_per_attempt,vacuum_hashing_bound_bits_per_attempt,raw_minus_vacuum_hashing_bound_bits_per_attempt,raw_optimized_spacing_d,vacuum_optimized_spacing_d,raw_minus_vacuum_optimized_spacing_d
2,2-QAM,-0.18,-0.565486677646,0.2,0.25,0.353877618541,0.328346680535,0.025530938006000037,1.61181491728,1.60147886803,0.010336049249999979
2,2-QAM,-0.175,-0.549778714378,0.2,0.25,0.353962599511,0.328852794736,0.025109804775000022,1.60795557595,1.59646977658,0.011485799369999938
2,2-QAM,-0.17,-0.53407075111,0.2,0.25,0.354047284569,0.329355609183,0.024691675385999978,1.60422169169,1.59160629984,0.012615391850000046
2,2-QAM,-0.165,-0.518362787842,0.2,0.25,0.354131578904,0.329854563777,0.02427701512699998,1.60061192072,1.58688702232,0.013724898400000018
2,2-QAM,-0.16,-0.502654824574,0.2,0.25,0.354215388269,0.330349096489,0.023866291779999993,1.59712495781,1.58231014567,0.014814812140000022
2,2-QAM,-0.155,-0.486946861306,0.2,0.25,0.35429861885,0.330838643083,0.02345997576700004,1.59375953549,1.57787614051,0.01588339498000013
2,2-QAM,-0.15,-0.471238898038,0.2,0.25,0.354381177137,0.331322636888,0.023058540249000004,1.59051442336,1.57358243158,0.016931991779999933
2,2-QAM,-0.145,-0.455530934771,0.2,0.25,0.354462969779,0.331800508605,0.022662461174000004,1.58738842743,1.5694287045,0.017959722930000144
2,2-QAM,-0.14,-0.439822971503,0.2,0.25,0.354543903293,0.332271686152,0.022272217141000028,1.58436745613,1.5654142459,0.018953210230000073
2,2-QAM,-0.135,-0.424115008235,0.2,0.25,0.354623884485,0.332735594547,0.02188828993799996,1.58152373757,1.56153846984,0.019985267729999867
2,2-QAM,-0.13,-0.408407044967,0.2,0.25,0.354702819366,0.333191655811,0.02151116355499999,1.57874560215,1.5578009128,0.020944689349999823
2,2-QAM,-0.125,-0.392699081699,0.2,0.25,0.354780613569,0.333639288905,0.021141324663999983,1.57608204309,1.55420122835,0.021880814740000032
2,2-QAM,-0.12,-0.376991118431,0.2,0.25,0.354857172005,0.334077909635,0.020779262369999996,1.57353206428,1.55073162537,0.02280043890999983
2,2-QAM,-0.115,-0.361283155163,0.2,0.25,0.354932398625,0.334506930755,0.02042546786999999,1.57109470326,1.54740534304,0.0236893602199999
2,2-QAM,-0.11,-0.345575191895,0.2,0.25,0.355006196158,0.334925761709,0.020080434448999984,1.56876903078,1.54421643294,0.024552597839999857
2,2-QAM,-0.105,-0.329867228627,0.2,0.25,0.355078465836,0.335333808682,0.019744657153999978,1.56655415044,1.54116497904,0.025389171400000077
2,2-QAM,-0.1,-0.314159265359,0.2,0.25,0.355149107072,0.33573047445,0.019418632622,1.56444919821,1.53825114977,0.026198048439999955
2,2-QAM,-0.095,-0.298451302091,0.2,0.25,0.355218017099,0.336115158208,0.019102858891000052,1.56245334208,1.5354751902,0.02697815188000008
2,2-QAM,-0.09,-0.282743338823,0.2,0.25,0.35528509057,0.336487255287,0.018797835282999997,1.5605657816,1.53283741385,0.027728367749999983
2,2-QAM,-0.085,-0.267035375555,0.2,0.25,0.355350219082,0.33684615675,0.01850406233199997,1.55878574746,1.53033819405,0.028447553409999937
2,2-QAM,-0.08,-0.251327412287,0.2,0.25,0.355413290633,0.337191248804,0.018222041829000002,1.55711250092,1.52797795513,0.029134545790000077
2,2-QAM,-0.075,-0.235619449019,0.2,0.25,0.355474188992,0.337521911974,0.017952277018000007,1.55554533331,1.52580718588,0.029738147430000028
2,2-QAM,-0.07,-0.219911485751,0.2,0.25,0.355532792938,0.337837519953,0.01769527298500001,1.55408356534,1.52372633963,0.03035722570999999
2,2-QAM,-0.065,-0.204203522483,0.2,0.25,0.355588975358,0.338137438023,0.01745153733499999,1.55272654625,1.52178596068,0.030940585570000012
